TIME,DeltaDec
20210101,-0.22
20210102,-0.16
20210103,-0.08
20210104,0.0
20210105,0.08
20210106,0.16
20210107,-0.24
20210108,-0.16
20210109,-0.08
20210110,0.02
20210111,0.08
20210112,0.16
20210113,-0.24
20210114,-0.16
20210115,-0.08
20210116,0.0
20210117,0.08
20210118,0.16
20210119,-0.22
20210120,-0.16
20210121,-0.08
20210122,0.0
20210123,0.08
20210124,0.16
20210125,-0.24
20210126,-0.16
20210127,-0.08
20210128,0.02
20210129,0.08
20210130,0.16
20210131,-0.24
20210201,-0.16
20210202,-0.08
20210203,0.0
20210204,0.08
20210205,0.16
20210206,-0.22
20210207,-0.16
20210208,-0.08
20210209,0.0
20210210,0.08
20210211,0.16
20210212,-0.24
20210213,-0.16
20210214,-0.08
20210215,0.02
20210216,0.08
20210217,0.16
