feature,coefficient,abs_coefficient
DeltaDec_t-3,2.8304012507509717,2.8304012507509717
Bz_t-3,2.109513632054115,2.109513632054115
Np_t-3,1.692521697572937,1.692521697572937
By_t-3,1.079360609657259,1.079360609657259
Bz_t-1,-1.0060070599383721,1.0060070599383721
By_t-1,-0.7008713661540584,0.7008713661540584
By_t-2,-0.6865118459372975,0.6865118459372975
Np_t-2,-0.1922568891857749,0.1922568891857749
Bz_t-2,-0.045191711818640144,0.045191711818640144
DeltaDec_t-1,-0.013002455932007722,0.013002455932007722
DeltaDec_t-2,0.0,0.0
Np_t-1,-0.0,0.0
