TIME,By,Bz,Np,Vsw
20210101,1,-3,5.0,360.0
20210102,-2,-2,5.5,361.7
20210103,3,-1,6.0,363.4
20210104,-4,0,6.5,365.1
20210105,5,1,5.0,366.8
20210106,-1,2,5.5,368.5
20210107,2,3,6.0,370.2
20210108,-3,-3,6.5,371.9
20210109,4,-2,5.0,373.6
20210110,-5,-1,5.5,375.3
20210111,1,0,6.0,377.0
20210112,-2,1,6.5,378.7
20210113,3,2,5.0,380.4
20210114,-4,3,5.5,382.1
20210115,5,-3,6.0,383.8
20210116,-1,-2,6.5,385.5
20210117,2,-1,5.0,387.2
20210118,-3,0,5.5,388.9
20210119,4,1,6.0,390.6
20210120,-5,2,6.5,392.3
20210121,1,3,5.0,394.0
20210122,-2,-3,5.5,395.7
20210123,3,-2,6.0,397.4
20210124,-4,-1,6.5,399.1
20210125,5,0,5.0,400.8
20210126,-1,1,5.5,402.5
20210127,2,2,6.0,404.2
20210128,-3,3,6.5,405.9
20210129,4,-3,5.0,407.6
20210130,-5,-2,5.5,409.3
20210131,1,-1,6.0,411.0
20210201,-2,0,6.5,412.7
20210202,3,1,5.0,414.4
20210203,-4,2,5.5,416.1
20210204,5,3,6.0,417.8
20210205,-1,-3,6.5,419.5
20210206,2,-2,5.0,421.2
20210207,-3,-1,5.5,422.9
20210208,4,0,6.0,424.6
20210209,-5,1,6.5,426.3
20210210,1,2,5.0,428.0
20210211,-2,3,5.5,429.7
20210212,3,-3,6.0,431.4
20210213,-4,-2,6.5,433.1
20210214,5,-1,5.0,434.8
20210215,-1,0,5.5,436.5
20210216,2,1,6.0,438.2
20210217,-3,2,6.5,439.9
