feature,coefficient,abs_coefficient
Kp*10 index_t-1,31.260105587001927,31.260105587001927
Kp*10 index_t-2,18.682095658048947,18.682095658048947
Kp*10 index_t-3,10.166808527054751,10.166808527054751
"BZ, nT (GSE)_t-2",7.975318140006904,7.975318140006904
"Scalar B, nT_t-1",6.658037400382674,6.658037400382674
"BY, nT (GSE)_t-2",-4.627269820677852,4.627269820677852
"BZ, nT (GSM)_t-1",4.1588415739510545,4.1588415739510545
"BZ, nT (GSE)_t-3",3.435417022680279,3.435417022680279
"BZ, nT (GSM)_t-3",2.840305435859608,2.840305435859608
"BY, nT (GSE)_t-1",-2.625035007380463,2.625035007380463
"BY, nT (GSM)_t-2",-1.9964533579554185,1.9964533579554185
"Scalar B, nT_t-3",-1.699101501183642,1.699101501183642
"BZ, nT (GSE)_t-1",1.416854375435135,1.416854375435135
"BY, nT (GSE)_t-3",0.919735041121928,0.919735041121928
"BZ, nT (GSM)_t-2",0.7084058861016487,0.7084058861016487
"Scalar B, nT_t-2",-0.6037107683389747,0.6037107683389747
"BY, nT (GSM)_t-1",0.2600055331261759,0.2600055331261759
"BY, nT (GSM)_t-3",0.01291353005422585,0.01291353005422585
