feature,coefficient,abs_coefficient
Kp*10 index_t-1,30.635338927070023,30.635338927070023
Kp*10 index_t-2,18.008951721678827,18.008951721678827
Kp*10 index_t-3,9.989973869567303,9.989973869567303
"BZ, nT (GSE)_t-2",7.4787586536411625,7.4787586536411625
"Scalar B, nT_t-1",6.617882240603248,6.617882240603248
"BZ, nT (GSM)_t-1",4.785264571426159,4.785264571426159
p2_y中心值_t-1,-4.480676281451952,4.480676281451952
"BY, nT (GSE)_t-2",-4.010838456834976,4.010838456834976
"BZ, nT (GSM)_t-3",3.965985252691985,3.965985252691985
p2_y中心值_t-3,-3.250735603603082,3.250735603603082
p2_y中心值_t-2,-2.403042230009893,2.403042230009893
"Scalar B, nT_t-3",-2.247404017033841,2.247404017033841
"BZ, nT (GSE)_t-3",2.1073185089781243,2.1073185089781243
"BY, nT (GSM)_t-2",-1.8528247965969418,1.8528247965969418
"BY, nT (GSM)_t-1",1.6067101021097,1.6067101021097
"Scalar B, nT_t-2",-1.467673739406994,1.467673739406994
"BY, nT (GSE)_t-3",1.240695331754775,1.240695331754775
"BZ, nT (GSM)_t-2",1.0964157852671272,1.0964157852671272
"BZ, nT (GSE)_t-1",0.925314627209412,0.925314627209412
"BY, nT (GSE)_t-1",-0.8401867196340046,0.8401867196340046
"BY, nT (GSM)_t-3",0.12870116618422855,0.12870116618422855
